Process,"Insp. Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Emp#,MC#,Material,M.LN,LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",05/01/2024,501243,23Z185-2,"Glass Thickness 1",.046,.049,.044,.005,.002,2.44,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z188-2,"Glass Thickness 2",.088,.090,.086,.004,.001,5.06,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z188-2,"Glass Thickness 1",.044,.048,.042,.006,.002,2.06,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z188-2,"Pull Back",.005,.013,.000,.013,.005,.31,S3046,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z189-1,"Glass Thickness 1",.048,.049,.047,.002,.001,6.26,S3309,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z189-1,"Glass Thickness 2",.088,.093,.084,.010,.003,1.68,S3309,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,500917,23Z031-2,"Glass Thickness 2",.108,.112,.103,.010,.003,1.79,S3047,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,500917,23Z031-2,"Glass Thickness 1",.050,.060,.046,.014,.004,1.20,S3047,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,501243,23Z188-1,"Glass Thickness 2",.084,.088,.080,.009,.003,1.73,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z188-1,"Pull Back",.010,.015,.005,.010,.004,.90,S0597,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z188-1,"Glass Thickness 1",.048,.052,.046,.006,.002,2.01,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,500917,23Z031-1,"Glass Thickness 1",.050,.054,.046,.008,.002,1.97,S3047,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,500917,23Z031-1,"Glass Thickness 2",.112,.121,.103,.018,.005,1.16,S3047,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,501243,23Z187-0,"Glass Thickness 2",.083,.089,.079,.010,.003,1.19,S3309,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z187-0,"Glass Thickness 1",.047,.049,.045,.004,.001,3.17,S3309,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z187-0,"Pull Back",.002,.009,.000,.009,.004,.19,S3309,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z186-2,"Glass Thickness 1",.046,.049,.044,.005,.002,2.48,S3311,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z186-2,"Glass Thickness 2",.085,.088,.082,.006,.002,2.42,S3311,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z186-2,"Pull Back",.013,.028,.005,.023,.009,.51,S3311,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z186-1,"Glass Thickness 2",.087,.091,.084,.007,.002,2.26,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z186-1,"Pull Back",.015,.016,.014,.002,.001,5.93,S0597,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z186-1,"Glass Thickness 1",.048,.050,.045,.005,.002,2.52,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,500917,23Z030-0,"Glass Thickness 1",.051,.056,.046,.010,.003,1.31,S3047,"CC 9",LS-1320,23027121,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,500917,23Z030-0,"Glass Thickness 2",.110,.117,.098,.020,.006,1.18,S3047,"CC 9",LS-1320,23027121,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,500917,23Z029-2,"Glass Thickness 2",.107,.113,.102,.011,.003,1.69,S3047,"CC 9",LS-1320,2307121,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,500917,23Z029-2,"Glass Thickness 1",.051,.055,.049,.007,.002,2.09,S3047,"CC 9",LS-1320,2307121,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,501243,23Z185-1,"Glass Thickness 1",.043,.047,.035,.012,.003,1.13,S0165,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z185-1,"Glass Thickness 2",.084,.087,.081,.006,.002,1.94,S0165,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z185-1,"Glass Thickness 2",.084,.088,.082,.005,.002,2.53,S0165,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501186,23Z1003-0,"Glass Thickness 2",.087,.093,.084,.010,.003,1.65,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501186,23Z1003-0,"Glass Thickness 1",.047,.049,.045,.004,.001,3.56,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z184-2,"Glass Thickness 1",.047,.050,.046,.004,.001,3.01,S3309,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z184-2,"Pull Back",.013,.017,.008,.010,.003,1.24,S3309,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z184-2,"Glass Thickness 2",.087,.091,.084,.006,.002,2.57,S3309,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501075,23Z061-2,"Glass Thickness 2",.073,.082,.069,.013,.004,1.61,S2884,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",05/01/2024,501075,23Z061-2,"Glass Thickness 1",.046,.049,.043,.006,.002,2.41,S2884,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501186,32Z1002-0,"Glass Thickness 1",.046,.052,.042,.010,.003,1.44,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501186,32Z1002-0,"Glass Thickness 2",.088,.093,.084,.009,.003,2.02,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,500917,23Z029-1,"Glass Thickness 2",.107,.111,.104,.007,.002,2.59,S3047,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,500917,23Z029-1,"Glass Thickness 1",.050,.055,.047,.008,.003,1.83,S3047,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,501186,23Z005-2,"Glass Thickness 2",.085,.091,.080,.010,.004,1.37,S0165,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z184-1,"Glass Thickness 2",.090,.096,.083,.013,.004,1.22,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z184-1,"Pull Back",.015,.018,.012,.006,.002,2.13,S0597,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z184-1,"Glass Thickness 1",.048,.051,.045,.006,.002,1.61,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,500917,23Z028-2,"Glass Thickness 1",.052,.058,.048,.010,.003,1.48,S3047,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,500917,23Z028-2,"Glass Thickness 2",.106,.112,.101,.011,.003,1.70,S3047,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,501186,23Z004-2,"Glass Thickness 1",.046,.048,.044,.004,.001,3.77,S3309,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501186,23Z004-2,"Glass Thickness 2",.089,.092,.087,.006,.002,3.03,S3309,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501075,23Z061-1,"Glass Thickness 1",.046,.048,.043,.005,.001,2.93,S2884,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501075,23Z061-1,"Glass Thickness 2",.071,.077,.067,.010,.003,2.07,S2884,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",05/01/2024,501186,23Z005-1,"Glass Thickness 1",.045,.048,.043,.005,.002,2.37,S0165,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501186,23Z005-1,"Glass Thickness 2",.086,.093,.082,.011,.003,1.47,S0165,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z183-2,"Glass Thickness 2",.083,.086,.081,.005,.001,2.70,S3311,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z183-2,"Pull Back",.016,.045,.000,.045,.017,.32,S3311,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z183-2,"Glass Thickness 1",.045,.050,.042,.008,.002,2.21,S3311,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,500917,23Z028-1,"Glass Thickness 1",.051,.054,.047,.008,.003,1.56,S3047,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,500917,23Z028-1,"Glass Thickness 2",.109,.115,.105,.011,.003,1.90,S3047,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,501075,23Z060-0,"Glass Thickness 1",.047,.049,.045,.004,.001,3.64,S2884,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501075,23Z060-0,"Glass Thickness 2",.073,.077,.069,.008,.002,2.38,S2884,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",05/01/2024,501243,23Z183-1,"Glass Thickness 1",.047,.049,.045,.004,.001,3.38,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z183-1,"Glass Thickness 2",.087,.089,.086,.003,.001,6.26,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z183-1,"Pull Back",.019,.022,.014,.008,.003,2.12,S0597,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z182-2,"Glass Thickness 2",.086,.090,.083,.006,.002,2.30,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z182-2,"Pull Back",.004,.005,.000,.005,.002,.58,S3046,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z182-2,"Glass Thickness 1",.044,.046,.042,.005,.002,2.27,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z181-2,"Glass Thickness 1",.046,.049,.044,.005,.001,3.04,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z182-1,"Glass Thickness 1",.044,.047,.042,.005,.002,2.59,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z182-1,"Glass Thickness 2",.086,.091,.082,.008,.002,2.27,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z182-1,"Pull Back",.008,.010,.003,.008,.003,.83,S3046,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z181-1,"Glass Thickness 2",.088,.091,.086,.005,.002,2.98,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z181-1,"Pull Back",.014,.019,.010,.009,.004,1.16,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z181-1,"Glass Thickness 1",.047,.049,.047,.003,.001,4.34,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 1 (Long)",.063,.066,.059,.007,.003,2.16,S2122,"RE 5",X-43-8200-W10,311131,.046,.065,.085,.065,.070,.060,.020
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 1 (Short)",.089,.093,.085,.008,.003,2.36,S2122,"RE 5",X-43-8200-W10,311131,.060,.085,.111,.085,.095,.075,.026
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 2 (Long)",.107,.109,.102,.006,.002,4.22,S2122,"RE 5",X-43-8200-W10,311131,.074,.105,.137,.105,.110,.100,.032
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 2 (Short)",.154,.157,.149,.008,.003,5.60,S2122,"RE 5",X-43-8200-W10,311131,.109,.155,.202,.155,.165,.145,.047
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 3 (Long)",.149,.151,.147,.005,.002,9.82,S2122,"RE 5",X-43-8200-W10,311131,.105,.150,.195,.150,.155,.145,.045
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 3 (Short)",.228,.228,.228,.001,.000,29.33,S2122,"RE 5",X-43-8200-W10,311131,.210,.230,.250,.235,.230,.225,.040
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 4 (Long)",.191,.192,.190,.002,.001,32.24,S2122,"RE 5",X-43-8200-W10,311131,.133,.190,.247,.190,.200,.180,.057
"Resin Printing",05/01/2024,1R0051-50,23Y005-2,"Resin Thickness 5 (Long)",.228,.230,.228,.002,.001,7.67,S2122,"RE 5",X-43-8200-W10,311131,.210,.230,.250,.235,.230,.225,.040
"Resin Printing",05/01/2024,1R0006-50,23Z012-3,"Resin Thickness 1 (Long)",.047,.048,.046,.002,.001,6.10,S3310,"RE 3","TECHSEAL 8200-FC",310022,.033,.047,.061,.047,.052,.042,.014
"Resin Printing",05/01/2024,1R0006-50,23Z012-3,"Resin Thickness 1 (Short)",.045,.048,.043,.005,.002,2.51,S3310,"RE 3","TECHSEAL 8200-FC",310022,.032,.045,.059,.047,.050,.040,.014
"Resin Printing",05/01/2024,1R0006-50,23Z012-3,"Resin Thickness 2 (Short)",.077,.081,.076,.006,.002,.34,S3310,"RE 3","TECHSEAL 8200-FC",310022,.075,.085,.095,.080,.085,.075,.040
"Resin Printing",05/01/2024,1R0006-50,23Z012-3,"Resin Thickness 2 (Long)",.090,.091,.090,.002,.001,12.92,S3310,"RE 3","TECHSEAL 8200-FC",310022,.061,.087,.113,.087,.092,.082,.026
"Resin Printing",05/01/2024,1R0006-50,23Z012-3,"Resin Thickness 3 (Long)",.129,.131,.127,.004,.001,3.28,S3310,"RE 3","TECHSEAL 8200-FC",310022,.115,.135,.155,.130,.135,.125,.040
"Resin Printing",05/01/2024,1R0006-50,23Z012-3,"Resin Thickness 4 (Partial)",.140,.142,.138,.004,.001,2.19,S3310,"RE 3","TECHSEAL 8200-FC",310022,.130,.150,.170,.143,.148,.138,.040
"Glass Printing",05/01/2024,501243,23Z080-2,"Glass Thickness 1",.047,.050,.045,.005,.002,2.59,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z080-2,"Pull Back",.001,.002,.000,.002,.001,.19,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z080-2,"Glass Thickness 2",.083,.085,.079,.006,.002,1.82,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z179-2,"Glass Thickness 2",.090,.097,.086,.011,.003,1.59,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z179-2,"Pull Back",.001,.005,.000,.005,.002,.19,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z179-2,"Glass Thickness 1",.047,.049,.046,.003,.001,4.38,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z180-1,"Glass Thickness 2",.086,.088,.083,.005,.002,2.49,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z180-1,"Glass Thickness 1",.044,.046,.043,.004,.001,3.34,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z180-1,"Pull Back",.001,.004,.000,.004,.002,.19,S3046,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z179-1,"Pull Back",.001,.003,.000,.003,.001,.19,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z179-1,"Glass Thickness 1",.046,.051,.042,.009,.002,1.74,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z179-1,"Glass Thickness 2",.083,.086,.079,.007,.002,1.76,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,500917,23Z027-2,"Glass Thickness 1",.051,.056,.047,.010,.003,1.72,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,500917,23Z027-2,"Glass Thickness 2",.113,.123,.103,.021,.007,.80,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,501243,23Z178-2,"Glass Thickness 2",.087,.091,.083,.008,.002,2.35,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z178-2,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z178-2,"Glass Thickness 1",.046,.049,.044,.005,.001,3.23,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,500917,23Z027-1,"Glass Thickness 1",.052,.056,.048,.008,.002,2.09,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",04/01/2024,500917,23Z027-1,"Glass Thickness 1",.052,.056,.048,.008,.002,2.09,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",04/01/2024,500917,23Z027-1,"Glass Thickness 2",.115,.122,.105,.018,.005,.92,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",04/01/2024,501075,23Z059-0,"Glass Thickness 2",.077,.082,.072,.010,.003,1.93,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",04/01/2024,501075,23Z059-0,"Glass Thickness 1",.050,.056,.047,.008,.002,1.31,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",04/01/2024,500917,23Z026-2,"Glass Thickness 1",.053,.057,.050,.007,.002,1.72,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",04/01/2024,500917,23Z026-2,"Glass Thickness 2",.114,.121,.104,.017,.006,.96,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",04/01/2024,501243,23Z178-1,"Glass Thickness 2",.086,.089,.083,.006,.002,2.78,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501243,23Z178-1,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",04/01/2024,501243,23Z178-1,"Glass Thickness 1",.044,.047,.042,.005,.002,2.55,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501186,23Z004-1,"Glass Thickness 1",.047,.050,.046,.004,.001,3.73,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501186,23Z004-1,"Glass Thickness 2",.086,.091,.083,.008,.003,1.80,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501075,23Z058-0,"Glass Thickness 2",.075,.082,.069,.013,.004,1.64,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",04/01/2024,501075,23Z058-0,"Glass Thickness 1",.047,.052,.040,.013,.004,1.06,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",04/01/2024,501186,23Z003-1,"Glass Thickness 2",.086,.089,.084,.005,.002,2.80,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501186,23Z003-1,"Glass Thickness 1",.044,.047,.043,.004,.001,3.27,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501243,23Z177-2,"Glass Thickness 2",.087,.093,.080,.014,.004,1.20,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501243,23Z177-2,"Glass Thickness 1",.046,.049,.044,.006,.002,2.67,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501243,23Z177-2,"Pull Back",.002,.006,.000,.006,.003,.19,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",04/01/2024,501243,23Z176-2,"Glass Thickness 2",.087,.088,.084,.005,.002,3.43,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501243,23Z176-2,"Pull Back",.001,.006,.000,.006,.002,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",04/01/2024,501243,23Z176-2,"Glass Thickness 1",.045,.047,.043,.004,.001,3.91,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,500917,23Z026-1,"Glass Thickness 1",.050,.056,.046,.010,.003,1.50,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",04/01/2024,500917,23Z026-1,"Glass Thickness 2",.110,.115,.097,.019,.006,1.17,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",04/01/2024,501243,23Z172-2,"Pull Back",.001,.003,.000,.003,.001,.19,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",04/01/2024,501243,23Z172-2,"Glass Thickness 2",.086,.091,.083,.008,.003,1.89,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501243,23Z172-2,"Glass Thickness 1",.048,.049,.046,.003,.001,3.95,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501186,23Z001-2,"Glass Thickness 1",.047,.049,.046,.003,.001,3.14,S3311,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501186,23Z001-2,"Glass Thickness 2",.085,.089,.082,.007,.002,1.98,S3311,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501075,23Z057-0,"Glass Thickness 2",.069,.072,.065,.008,.003,1.79,S2884,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",04/01/2024,501075,23Z057-0,"Glass Thickness 1",.046,.051,.042,.010,.003,1.52,S2884,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",04/01/2024,501075,23Z057-0,"Glass Thickness 1",.042,.046,.037,.009,.003,1.14,S2884,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",04/01/2024,501243,23Z177-1,"Glass Thickness 2",.085,.089,.078,.011,.003,1.64,S0597,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,501243,23Z177-1,"Glass Thickness 1",.046,.050,.044,.006,.002,2.34,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501243,23Z177-1,"Pull Back",.001,.002,.000,.002,.001,.19,S0597,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",04/01/2024,501186,23Z001-1,"Glass Thickness 1",.047,.051,.044,.007,.002,1.98,S3311,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",04/01/2024,501186,23Z001-1,"Glass Thickness 2",.086,.090,.083,.007,.002,2.14,S3311,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",04/01/2024,500917,23Z025-2,"Glass Thickness 2",.109,.114,.103,.011,.003,1.85,S3047,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
